"Perimetre","Date","Heures","Fioul","Charbon","Gaz","Nucleaire","Eolien","Solaire","Hydraulique","Pompage","Bioenergies"
"France","1/1/2016","0:00","296","21","2226","54383","2618","0","3594","-118","1052"
"France","1/1/2016","0:30","161","22","2227","54363","2478","0","3470","-236","1086"
"France","1/1/2016","1:00","160","22","2205","53715","2199","0","2516","-71","1091"
"France","1/1/2016","1:30","160","23","2212","54092","1966","0","2849","-83","1082"
"France","1/1/2016","2:00","160","22","2209","53886","1795","0","2533","-50","1091"
"France","1/1/2016","2:30","159","22","2231","54186","1586","0","2097","-619","1093"
"France","1/1/2016","3:00","159","22","2240","53811","1470","0","1897","-1902","1090"
"France","1/1/2016","3:30","159","22","2195","52542","1359","0","2024","-2970","1087"
"France","1/1/2016","4:00","159","22","2219","51831","1238","0","2016","-3258","1095"
"France","1/1/2016","4:30","158","22","2221","52083","1162","0","2304","-2960","1084"
"France","1/1/2016","5:00","158","22","2234","51517","1024","0","2270","-2878","1091"
"France","1/1/2016","5:30","159","23","2200","51681","977","0","2234","-1988","1085"
"France","1/1/2016","6:00","160","23","2191","52082","879","0","1936","-1986","1081"
"France","1/1/2016","6:30","160","22","2207","52421","863","0","1966","-1483","1084"
"France","1/1/2016","7:00","159","23","2220","52252","904","0","1935","-1512","1087"
"France","1/1/2016","7:30","160","22","2221","51723","1004","0","1991","-1897","1099"
"France","1/1/2016","8:00","160","22","2210","52119","1126","0","2050","-2823","1091"
"France","1/1/2016","8:30","159","22","2218","50424","1253","2","2191","-2947","1090"
"France","1/1/2016","9:00","159","22","2200","50568","1424","69","2307","-3169","1088"
"France","1/1/2016","9:30","159","23","2217","52164","1667","259","2697","-2364","1085"
"France","1/1/2016","10:00","160","23","2190","52447","1920","490","2663","-2154","1078"
"France","1/1/2016","10:30","161","23","2207","52867","2076","779","2700","-1428","1067"
"France","1/1/2016","11:00","160","24","2229","53483","2229","1094","2613","-1396","1072"
"France","1/1/2016","11:30","160","24","2232","53504","2408","1318","2514","-484","1079"
"France","1/1/2016","12:00","161","24","2231","53775","2701","1328","2438","-105","1078"
"France","1/1/2016","12:30","160","24","2230","53631","2870","1455","2654","-191","1072"
"France","1/1/2016","13:00","159","24","2229","53303","2947","1566","4167","-190","1066"
"France","1/1/2016","13:30","160","24","2222","53225","3129","1546","4091","-111","1074"
"France","1/1/2016","14:00","159","24","2229","53026","3375","1479","2785","-61","1061"
"France","1/1/2016","14:30","160","24","2234","53178","3519","1295","2397","-260","1072"
"France","1/1/2016","15:00","161","25","2207","52767","3873","1015","2147","-985","1068"
"France","1/1/2016","15:30","160","24","2208","53683","4159","781","1983","-1924","1079"
"France","1/1/2016","16:00","160","23","2231","53908","4326","518","2016","-2395","1084"
"France","1/1/2016","16:30","160","22","2232","53145","4428","209","2821","-2263","1086"
"France","1/1/2016","17:00","158","23","2231","53458","4654","45","2910","-1901","1085"
"France","1/1/2016","17:30","158","23","2244","53153","5066","0","3160","-15","1084"
"France","1/1/2016","18:00","159","21","2252","53972","5461","0","4128","-14","1087"
"France","1/1/2016","18:30","158","18","2252","53956","5859","0","5317","-13","1079"
"France","1/1/2016","19:00","158","23","2254","54126","6028","0","6131","-13","1077"
"France","1/1/2016","19:30","159","19","2262","54169","5947","0","5968","-13","1072"
"France","1/1/2016","20:00","158","18","2233","54326","6145","0","4981","-13","1065"
"France","1/1/2016","20:30","158","19","2245","53901","6184","0","3948","-14","1073"
"France","1/1/2016","21:00","158","19","2255","53445","6384","0","3310","-23","1068"
"France","1/1/2016","21:30","158","19","2255","54134","6315","0","2906","-621","1068"
"France","1/1/2016","22:00","159","18","2242","53198","6244","0","2595","-620","1068"
"France","1/1/2016","22:30","158","19","2241","51849","6082","0","3277","-91","1065"
"France","1/1/2016","23:00","158","17","2252","51984","6072","0","5456","-91","1064"
"France","1/1/2016","23:30","158","18","2251","51724","5983","0","3142","-116","1057"
"France","1/2/2016","0:00","158","18","2243","51739","5899","0","2987","-49","1043"
"France","1/2/2016","0:30","158","22","2231","51918","5736","0","2410","-1167","1049"
"France","1/2/2016","1:00","159","19","2233","50945","5543","0","1936","-2198","1057"
"France","1/2/2016","1:30","158","18","2239","50225","5335","0","1835","-2923","1061"
"France","1/2/2016","2:00","159","21","2232","49992","5225","0","1843","-3312","1051"
"France","1/2/2016","2:30","159","20","2221","49626","5275","0","1895","-3276","1054"
"France","1/2/2016","3:00","159","20","2229","48087","5306","0","1895","-3273","1064"
"France","1/2/2016","3:30","158","22","2233","48071","5200","0","1919","-3269","1055"
"France","1/2/2016","4:00","158","22","2227","47632","5238","0","1847","-3268","1055"
"France","1/2/2016","4:30","159","20","2226","47479","5191","0","1867","-3260","1076"
"France","1/2/2016","5:00","159","21","2242","47238","5234","0","1903","-3255","1078"
"France","1/2/2016","5:30","160","22","2253","47438","5233","0","1882","-3254","1071"
"France","1/2/2016","6:00","159","21","2231","48147","5151","0","1977","-3245","1058"
"France","1/2/2016","6:30","160","21","2234","49069","4953","0","2503","-3075","1053"
"France","1/2/2016","7:00","160","21","2216","49762","4923","0","2516","-3076","1051"
"France","1/2/2016","7:30","162","19","2254","49579","5052","0","2313","-3064","1045"
"France","1/2/2016","8:00","163","7","2243","50290","5106","0","2412","-2900","1045"
"France","1/2/2016","8:30","160","0","2198","51461","5119","0","2461","-2190","1041"
"France","1/2/2016","9:00","161","6","2242","52140","5231","21","2441","-1785","1036"
"France","1/2/2016","9:30","161","17","2256","53467","5315","96","2724","-809","1033"
"France","1/2/2016","10:00","161","17","2219","53929","5501","229","3094","-623","1038"
"France","1/2/2016","10:30","160","17","2247","54126","5779","426","3491","-529","1031"
"France","1/2/2016","11:00","161","16","2249","54132","5839","643","3637","-530","1025"
"France","1/2/2016","11:30","160","18","2175","54280","5911","771","4143","-529","1032"
"France","1/2/2016","12:00","162","16","2186","54299","6217","945","4478","-501","1028"
"France","1/2/2016","12:30","162","17","2190","53738","6367","1100","4724","-83","1049"
"France","1/2/2016","13:00","163","15","2205","54053","6532","1118","5410","-92","1046"
"France","1/2/2016","13:30","164","18","2202","53317","6672","1201","4729","-224","1054"
"France","1/2/2016","14:00","164","9","2228","53083","6736","1258","3745","-415","1050"
"France","1/2/2016","14:30","160","12","2246","53828","6787","972","3918","-359","1050"
"France","1/2/2016","15:00","165","10","2254","53383","6707","896","3296","-798","1060"
"France","1/2/2016","15:30","164","11","2255","53918","6686","709","3554","-915","1054"
"France","1/2/2016","16:00","164","11","2241","53870","6688","460","3347","-960","1056"
"France","1/2/2016","16:30","165","10","2287","54159","6627","273","3508","-750","1040"
"France","1/2/2016","17:00","163","15","2296","54292","6648","83","3781","-516","1037"
"France","1/2/2016","17:30","163","13","2404","54760","6635","2","5183","-216","1033"
"France","1/2/2016","18:00","164","18","2419","55126","6643","0","7034","-5","1042"
"France","1/2/2016","18:30","163","9","2431","55228","6547","0","7593","-5","1030"
"France","1/2/2016","19:00","162","8","2406","55197","6560","0","8573","-5","1019"
"France","1/2/2016","19:30","164","11","2419","55219","6614","0","7787","-5","1029"
"France","1/2/2016","20:00","162","12","2408","55107","6626","0","6973","-5","1043"
"France","1/2/2016","20:30","163","13","2407","55192","6642","0","5696","-216","1030"
"France","1/2/2016","21:00","164","12","2431","54902","6506","0","5028","-486","1039"
"France","1/2/2016","21:30","163","12","2424","54589","6436","0","4328","-495","1046"
"France","1/2/2016","22:00","166","14","2428","54084","6361","0","3772","-434","1049"
"France","1/2/2016","22:30","164","12","2387","53977","6162","0","4006","-174","1048"
"France","1/2/2016","23:00","163","13","2329","54701","6080","0","6012","-174","1055"
"France","1/2/2016","23:30","162","13","2372","54014","6015","0","5426","-175","1049"
"France","1/3/2016","0:00","162","13","2370","53777","5831","0","5240","-203","1054"
"France","1/3/2016","0:30","161","13","2415","52641","5648","0","3792","-348","1050"
"France","1/3/2016","1:00","162","13","2299","51592","5406","0","3303","-977","1051"
"France","1/3/2016","1:30","161","12","2276","51628","5165","0","3084","-1826","1056"
"France","1/3/2016","2:00","162","12","2276","50664","4988","0","3122","-1842","1058"
"France","1/3/2016","2:30","162","13","2288","49484","4744","0","2957","-2976","1062"
"France","1/3/2016","3:00","163","13","2298","48202","4433","0","2772","-3131","1067"
"France","1/3/2016","3:30","160","12","2293","46492","4238","0","2346","-3050","1066"
"France","1/3/2016","4:00","163","12","2296","44613","4055","0","2342","-2168","1061"
"France","1/3/2016","4:30","161","14","2293","44725","3967","0","2320","-1578","1064"
"France","1/3/2016","5:00","162","14","2301","44301","3835","0","2284","-1626","1062"
"France","1/3/2016","5:30","161","14","2277","44273","3745","0","2280","-2515","1070"
"France","1/3/2016","6:00","161","13","2295","44882","3693","0","2334","-2540","1062"
"France","1/3/2016","6:30","162","13","2273","45752","3577","0","2378","-2574","1054"
"France","1/3/2016","7:00","162","13","2284","46604","3768","0","2376","-3251","1054"
"France","1/3/2016","7:30","161","12","2287","46884","4202","0","2521","-3090","1058"
"France","1/3/2016","8:00","160","12","2277","47081","4532","0","2592","-2910","1061"
"France","1/3/2016","8:30","156","13","2267","48101","4723","3","2784","-3037","1053"
"France","1/3/2016","9:00","155","12","2287","48969","4851","83","2739","-2904","1054"
"France","1/3/2016","9:30","155","24","2284","50001","4979","255","3058","-2495","1059"
"France","1/3/2016","10:00","156","26","2279","50316","5079","403","3216","-1376","1060"
"France","1/3/2016","10:30","155","27","2290","51594","5246","626","3596","-642","1050"
"France","1/3/2016","11:00","156","27","2291","51802","5446","658","3952","-447","1056"
"France","1/3/2016","11:30","155","26","2296","52972","5542","731","4434","-465","1040"
"France","1/3/2016","12:00","155","26","2293","53459","5700","798","4587","-530","1056"
"France","1/3/2016","12:30","155","26","2295","53262","5839","856","5711","-529","1053"
"France","1/3/2016","13:00","155","26","2296","53449","6049","797","6027","-538","1048"
"France","1/3/2016","13:30","154","26","2294","53339","6098","672","4834","-549","1046"
"France","1/3/2016","14:00","153","26","2284","52923","6190","596","3875","-558","1045"
"France","1/3/2016","14:30","154","26","2277","53537","6293","495","3922","-1214","1040"
"France","1/3/2016","15:00","152","26","2270","53493","6262","405","3352","-1851","1035"
"France","1/3/2016","15:30","152","22","2282","54337","6326","273","3660","-2139","1033"
"France","1/3/2016","16:00","153","21","2288","54466","6280","190","3686","-2531","1038"
"France","1/3/2016","16:30","153","21","2239","54366","6254","89","3349","-2183","1028"
"France","1/3/2016","17:00","153","19","2195","54551","6337","17","3551","-2021","1028"
"France","1/3/2016","17:30","153","17","2182","54368","6349","0","4244","-414","1031"
"France","1/3/2016","18:00","153","18","2139","54715","6348","0","5926","-13","1032"
"France","1/3/2016","18:30","153","17","2131","54765","6402","0","8079","-13","1031"
"France","1/3/2016","19:00","152","18","2127","55066","6555","0","9382","-13","1020"
"France","1/3/2016","19:30","153","18","2124","55004","6549","0","7969","-13","1017"
"France","1/3/2016","20:00","153","16","2133","55045","6398","0","7231","-13","1029"
"France","1/3/2016","20:30","153","14","2129","54615","5997","0","6330","-13","1030"
"France","1/3/2016","21:00","152","13","2136","54622","5828","0","5426","-62","1034"
"France","1/3/2016","21:30","152","14","2135","54794","5685","0","5315","-890","1034"
"France","1/3/2016","22:00","152","14","2156","54470","5505","0","4346","-890","1025"
"France","1/3/2016","22:30","155","13","2128","53810","5157","0","4488","-493","1031"
"France","1/3/2016","23:00","152","11","2120","53731","5039","0","6643","-494","1027"
"France","1/3/2016","23:30","153","8","2087","52913","4913","0","4863","-571","1028"
"France","1/4/2016","0:00","152","13","2166","53245","4906","0","4181","-575","998"
"France","1/4/2016","0:30","152","10","2189","53052","4996","0","3621","-973","1006"
"France","1/4/2016","1:00","152","10","2201","52225","5006","0","3404","-2560","1020"
"France","1/4/2016","1:30","154","11","2247","52861","4975","0","3355","-2941","1018"
"France","1/4/2016","2:00","156","9","2246","52311","5089","0","3110","-2785","1017"
"France","1/4/2016","2:30","155","10","2254","52317","5090","0","3245","-2743","1021"
"France","1/4/2016","3:00","154","11","2292","50941","5112","0","2801","-2770","1011"
"France","1/4/2016","3:30","154","11","2292","51915","5153","0","3010","-2768","1017"
"France","1/4/2016","4:00","153","10","2290","50874","5267","0","2959","-2912","1029"
"France","1/4/2016","4:30","153","11","2285","50825","5300","0","2928","-3252","1019"
"France","1/4/2016","5:00","153","8","2433","51068","5357","0","2992","-3247","1015"
"France","1/4/2016","5:30","154","7","2545","52080","5396","0","3101","-3236","1016"
"France","1/4/2016","6:00","153","63","2685","53717","5370","0","3470","-3228","1011"
"France","1/4/2016","6:30","152","130","3019","55045","5416","0","3980","-2650","1011"
"France","1/4/2016","7:00","153","185","3483","56488","5324","0","4341","-1310","1008"
"France","1/4/2016","7:30","154","188","4056","57496","5392","0","4935","-874","1012"
"France","1/4/2016","8:00","152","247","4651","58570","5444","0","5056","-229","1018"
"France","1/4/2016","8:30","152","316","5226","58818","5404","0","7108","-10","1030"
"France","1/4/2016","9:00","152","329","5657","58368","5431","19","6818","-11","1022"
"France","1/4/2016","9:30","157","315","6101","58618","5526","156","8255","-11","1028"
"France","1/4/2016","10:00","152","336","6342","58621","5523","374","7892","-11","1026"
"France","1/4/2016","10:30","154","322","6391","58893","5476","544","7897","-11","1007"
"France","1/4/2016","11:00","151","311","6372","58816","5448","840","7809","-12","1010"
"France","1/4/2016","11:30","151","305","6568","58795","5321","1062","8984","-11","1014"
"France","1/4/2016","12:00","152","318","6598","58704","5373","1143","9215","-11","1007"
"France","1/4/2016","12:30","151","315","6688","58502","5281","1212","8055","-11","1017"
"France","1/4/2016","13:00","150","314","6699","58825","5259","1144","8424","-11","1023"
"France","1/4/2016","13:30","152","313","6776","58712","5078","1091","7214","-11","1027"
"France","1/4/2016","14:00","151","312","6766","58454","4936","1008","6950","-11","1012"
"France","1/4/2016","14:30","152","310","6799","58761","4716","864","6954","-15","1010"
"France","1/4/2016","15:00","153","320","6770","58377","4527","632","6311","-26","1023"
"France","1/4/2016","15:30","157","332","6621","58540","4193","466","6606","-34","1025"
"France","1/4/2016","16:00","150","339","6684","58609","4073","293","6648","-38","1021"
"France","1/4/2016","16:30","150","419","6781","58493","3925","133","7608","-35","1016"
"France","1/4/2016","17:00","150","509","6870","58719","3940","24","7785","-8","1024"
"France","1/4/2016","17:30","152","543","6789","58970","3945","0","8656","-5","1025"
"France","1/4/2016","18:00","152","564","6863","59069","4002","0","10953","-5","1025"
"France","1/4/2016","18:30","151","506","6854","59011","4353","0","11504","-4","1026"
"France","1/4/2016","19:00","152","534","6893","59040","4557","0","12728","-5","1034"
"France","1/4/2016","19:30","151","395","6844","59069","4724","0","11925","-5","1036"
"France","1/4/2016","20:00","153","356","6885","59037","4859","0","10164","-5","1036"
"France","1/4/2016","20:30","162","347","6812","58859","4790","0","8211","-5","1037"
"France","1/4/2016","21:00","163","344","6805","58536","4802","0","6615","-428","1029"
"France","1/4/2016","21:30","164","352","5824","58699","4774","0","5453","-1423","1032"
"France","1/4/2016","22:00","164","329","5622","58194","4916","0","5125","-2448","1031"
"France","1/4/2016","22:30","164","322","4723","58095","4809","0","5203","-1903","1042"
"France","1/4/2016","23:00","164","326","4665","58146","4732","0","5422","-85","1039"
"France","1/4/2016","23:30","164","326","4175","57791","4608","0","4981","-288","1034"
"France","1/5/2016","0:00","164","339","3865","58148","4636","0","5008","-1177","1036"
"France","1/5/2016","0:30","164","325","3264","57063","4695","0","4447","-1259","1034"
"France","1/5/2016","1:00","164","322","2805","55875","4735","0","4273","-2199","1031"
"France","1/5/2016","1:30","163","330","2546","55863","4832","0","4303","-2230","1037"
"France","1/5/2016","2:00","162","316","2507","55583","4887","0","4206","-2242","1048"
"France","1/5/2016","2:30","153","324","2519","55709","5008","0","4272","-2154","1054"
"France","1/5/2016","3:00","153","321","2507","54697","4955","0","3936","-2659","1055"
"France","1/5/2016","3:30","153","333","2545","54795","4986","0","4065","-2960","1055"
"France","1/5/2016","4:00","150","324","2528","54474","5132","0","3659","-3287","1060"
"France","1/5/2016","4:30","149","417","2538","55026","5270","0","3854","-3290","1056"
"France","1/5/2016","5:00","149","454","2550","55414","5298","0","3771","-3288","1059"
"France","1/5/2016","5:30","149","441","2497","55542","5306","0","3877","-3255","1045"
"France","1/5/2016","6:00","149","443","2723","56530","5273","0","4135","-3005","1043"
"France","1/5/2016","6:30","147","337","3345","56636","5149","0","4682","-1481","1043"
"France","1/5/2016","7:00","149","331","3989","57407","5046","0","5341","-42","1040"
"France","1/5/2016","7:30","148","441","4898","58137","5218","0","7299","-5","1038"
"France","1/5/2016","8:00","149","536","5753","58476","5040","0","8320","-5","1032"
"France","1/5/2016","8:30","156","545","6172","58524","5075","1","9283","-5","1023"
"France","1/5/2016","9:00","156","493","6657","58452","4987","66","8639","-5","1009"
"France","1/5/2016","9:30","156","517","6733","58581","5043","264","9643","-5","1019"
"France","1/5/2016","10:00","155","479","6900","58447","5009","517","9421","-5","1018"
"France","1/5/2016","10:30","149","457","6978","58385","5023","801","8600","-5","1013"
"France","1/5/2016","11:00","145","474","7059","58423","5050","926","8377","-5","1018"
"France","1/5/2016","11:30","148","510","7063","58524","5117","1137","8252","-5","1015"
"France","1/5/2016","12:00","153","564","7096","58489","5110","1235","8387","-5","1020"
"France","1/5/2016","12:30","157","567","7038","58469","5117","1273","7874","-5","1024"
"France","1/5/2016","13:00","159","588","7015","58484","5147","1270","7921","-5","1014"
"France","1/5/2016","13:30","157","597","6951","58460","5163","1032","7615","-5","1016"
"France","1/5/2016","14:00","157","582","6963","58415","5122","1021","7052","-5","1017"
"France","1/5/2016","14:30","157","587","6892","58460","4916","876","6834","-5","1017"
"France","1/5/2016","15:00","158","619","7016","58425","4832","736","6036","-325","1035"
"France","1/5/2016","15:30","161","604","6996","58393","4705","641","5997","-337","1037"
"France","1/5/2016","16:00","162","534","7058","58427","4436","403","6170","-345","1029"
"France","1/5/2016","16:30","160","526","7044","58225","4334","202","6844","-42","1035"
"France","1/5/2016","17:00","158","566","7081","57813","4167","53","8060","-42","1043"
"France","1/5/2016","17:30","158","559","7095","57750","4080","1","9865","-42","1051"
"France","1/5/2016","18:00","158","526","7117","57722","4174","0","12511","-5","1052"
"France","1/5/2016","18:30","158","457","7260","57836","4221","0","12830","-5","1047"
"France","1/5/2016","19:00","156","523","7291","57849","4325","0","14124","-5","1050"
"France","1/5/2016","19:30","157","519","7261","57863","4401","0","13116","-5","1047"
"France","1/5/2016","20:00","160","460","7208","57748","4304","0","11338","-5","1057"
"France","1/5/2016","20:30","150","524","6869","57717","4216","0","10355","-5","1052"
"France","1/5/2016","21:00","160","508","6617","57409","4177","0","7695","-5","1058"
"France","1/5/2016","21:30","160","476","6686","57271","4026","0","6694","-495","1057"
"France","1/5/2016","22:00","160","326","6644","56853","3925","0","5815","-566","1053"
"France","1/5/2016","22:30","161","325","6121","56111","3841","0","6031","-563","1049"
"France","1/5/2016","23:00","163","354","5886","56694","3647","0","8131","-832","1053"
"France","1/5/2016","23:30","163","342","3869","56311","3462","0","6518","-1105","1058"
"France","1/6/2016","0:00","162","346","3772","56518","3316","0","5803","-546","1050"
"France","1/6/2016","0:30","162","339","3119","56259","3268","0","5163","-807","1056"
"France","1/6/2016","1:00","161","312","2756","55526","3249","0","4356","-1283","1055"
"France","1/6/2016","1:30","162","457","2574","56278","3170","0","4422","-2232","1051"
"France","1/6/2016","2:00","160","446","2574","55861","3119","0","4446","-2234","1061"
"France","1/6/2016","2:30","160","516","2565","56451","2994","0","4795","-1871","1057"
"France","1/6/2016","3:00","160","440","2581","55655","2906","0","4714","-1869","1060"
"France","1/6/2016","3:30","160","498","2516","55589","2827","0","5121","-1705","1058"
"France","1/6/2016","4:00","160","541","2552","55251","2747","0","4804","-2155","1050"
"France","1/6/2016","4:30","152","629","2578","55849","2677","0","4281","-2940","1049"
"France","1/6/2016","5:00","161","618","2566","55869","2613","0","4439","-3148","1047"
"France","1/6/2016","5:30","161","584","2611","55403","2549","0","4548","-2846","1049"
"France","1/6/2016","6:00","163","684","2830","56301","2563","0","4926","-2836","1051"
"France","1/6/2016","6:30","162","675","3797","55792","2478","0","5211","-1996","1034"
"France","1/6/2016","7:00","161","681","4593","55948","2412","0","5820","-107","1019"
"France","1/6/2016","7:30","160","763","5639","57078","2380","0","8754","-5","1010"
"France","1/6/2016","8:00","159","734","6410","57132","2425","0","9850","-5","1013"
"France","1/6/2016","8:30","159","734","6825","57154","2426","7","10294","-5","1012"
"France","1/6/2016","9:00","156","695","6723","57090","2525","67","9866","-5","1014"
"France","1/6/2016","9:30","161","728","6761","57131","2464","212","9813","-5","1009"
"France","1/6/2016","10:00","162","708","6776","57058","2356","344","9604","-5","1004"
"France","1/6/2016","10:30","158","695","6762","57096","2305","583","9482","-5","1005"
"France","1/6/2016","11:00","158","729","6825","56317","2223","769","9798","-5","1011"
"France","1/6/2016","11:30","158","743","6847","56192","2123","932","9885","-6","1012"
"France","1/6/2016","12:00","158","834","6828","56168","2075","1025","9922","-6","1012"
"France","1/6/2016","12:30","159","881","6817","56133","1988","1257","9530","-8","1014"
"France","1/6/2016","13:00","159","879","6828","56102","1981","1245","9512","-7","1015"
"France","1/6/2016","13:30","160","804","6745","56126","2002","1287","8911","-4","1021"
"France","1/6/2016","14:00","160","774","6704","56155","2022","1332","8200","-5","1024"
"France","1/6/2016","14:30","161","834","6790","56170","1952","1232","8461","-5","1022"
"France","1/6/2016","15:00","161","773","6719","56099","1976","1128","7323","-5","1013"
"France","1/6/2016","15:30","161","788","6674","56134","1984","891","7395","-5","1023"
"France","1/6/2016","16:00","163","770","6751","56101","1852","555","7404","-17","1023"
"France","1/6/2016","16:30","162","777","6822","56094","1900","256","8744","-19","1018"
"France","1/6/2016","17:00","161","770","7217","56076","1952","72","9281","-43","1021"
"France","1/6/2016","17:30","161","815","7285","56231","2007","1","11181","-52","1022"
"France","1/6/2016","18:00","161","842","7318","56258","2144","0","13680","-56","1025"
"France","1/6/2016","18:30","161","751","7291","56290","2171","0","12084","-58","1027"
"France","1/6/2016","19:00","162","797","7339","56368","2372","0","13100","-16","1026"
"France","1/6/2016","19:30","162","794","7342","56588","2510","0","11485","-4","1034"
"France","1/6/2016","20:00","163","755","7266","56985","2559","0","8986","-4","1053"
"France","1/6/2016","20:30","162","778","7121","57438","2649","0","6656","-7","1059"
"France","1/6/2016","21:00","163","775","7113","56470","2797","0","5951","-930","1065"
"France","1/6/2016","21:30","162","831","5233","56613","2877","0","5891","-1192","1070"
"France","1/6/2016","22:00","162","790","4752","55847","2985","0","5389","-1195","1066"
"France","1/6/2016","22:30","162","779","4017","55834","3051","0","5241","-1301","1064"
"France","1/6/2016","23:00","163","813","3808","56045","3184","0","5686","-353","1066"
"France","1/6/2016","23:30","162","793","3242","55687","3205","0","5165","-613","1077"
"France","1/7/2016","0:00","163","804","3020","55847","3302","0","5021","-1678","1079"
"France","1/7/2016","0:30","163","819","2934","55977","3331","0","5228","-1904","1079"
"France","1/7/2016","1:00","162","716","2867","54015","3235","0","5035","-2397","1078"
"France","1/7/2016","1:30","160","706","2866","53817","3217","0","5572","-2082","1071"
"France","1/7/2016","2:00","160","683","2886","53313","3416","0","5313","-2090","1065"
"France","1/7/2016","2:30","160","707","2717","54158","3709","0","5415","-2084","1072"
"France","1/7/2016","3:00","162","641","2698","53433","4217","0","4724","-2819","1066"
"France","1/7/2016","3:30","161","645","2654","54058","4711","0","4675","-2935","1062"
"France","1/7/2016","4:00","161","633","2673","54013","5088","0","3999","-3298","1061"
"France","1/7/2016","4:30","160","649","2659","53895","5408","0","4005","-3287","1072"
"France","1/7/2016","5:00","161","631","2693","54005","5729","0","3950","-3304","1073"
"France","1/7/2016","5:30","160","669","2695","55682","5979","0","4237","-3316","1072"
"France","1/7/2016","6:00","162","752","3032","55966","6142","0","4396","-3078","1061"
"France","1/7/2016","6:30","161","831","3566","56548","6444","0","4786","-2646","1049"
"France","1/7/2016","7:00","162","866","4718","57586","6949","0","5552","-2357","1042"
"France","1/7/2016","7:30","162","863","5651","57503","7339","0","6287","-264","1028"
"France","1/7/2016","8:00","163","867","6063","57627","7623","0","6982","-7","1023"
"France","1/7/2016","8:30","163","820","6350","57289","7839","0","7569","-4","1031"
"France","1/7/2016","9:00","161","792","6646","57139","7825","15","7426","-5","1029"
"France","1/7/2016","9:30","160","856","7000","57524","7766","84","8723","-6","1023"
"France","1/7/2016","10:00","160","844","6852","57346","7623","194","8971","-5","1002"
"France","1/7/2016","10:30","166","833","6931","57204","7381","361","10034","-5","1000"
"France","1/7/2016","11:00","166","852","6902","57254","7046","563","9972","-5","997"
"France","1/7/2016","11:30","171","703","6886","56916","6841","749","9642","-5","984"
"France","1/7/2016","12:00","173","685","6915","56942","6933","845","9714","-5","1006"
"France","1/7/2016","12:30","173","717","6808","56610","7117","968","7757","-5","1027"
"France","1/7/2016","13:00","165","728","6895","56811","7341","1136","7325","-6","1029"
"France","1/7/2016","13:30","166","723","6727","56641","7471","1124","6717","-6","1035"
"France","1/7/2016","14:00","165","718","6645","56783","7643","992","6316","-7","1043"
"France","1/7/2016","14:30","167","727","6534","56923","7768","926","6035","-6","1043"
"France","1/7/2016","15:00","167","720","6511","56850","7676","794","5748","-495","1036"
"France","1/7/2016","15:30","168","731","6681","56832","7619","624","6012","-495","1032"
"France","1/7/2016","16:00","173","752","6902","56529","7518","415","5870","-496","1044"
"France","1/7/2016","16:30","176","769","7058","56528","7248","223","6079","-497","1066"
"France","1/7/2016","17:00","176","763","7139","56564","6976","60","6721","-7","1058"
"France","1/7/2016","17:30","176","753","7105","56686","6724","0","7291","-30","1077"
"France","1/7/2016","18:00","178","765","7191","56867","6430","0","9822","-54","1080"
"France","1/7/2016","18:30","175","745","7126","56625","6071","0","9340","-56","1092"
"France","1/7/2016","19:00","175","756","7233","56699","5709","0","11118","-57","1094"
"France","1/7/2016","19:30","175","746","7173","56595","5455","0","11034","-57","1078"
"France","1/7/2016","20:00","174","720","6930","56395","5250","0","9543","-22","1082"
"France","1/7/2016","20:30","176","720","5719","56393","4931","0","8426","-4","1084"
"France","1/7/2016","21:00","175","711","5282","56341","4708","0","6931","-111","1080"
"France","1/7/2016","21:30","175","728","5047","56339","4648","0","6657","-911","1079"
"France","1/7/2016","22:00","176","717","4776","55578","4415","0","6274","-1091","1077"
"France","1/7/2016","22:30","175","713","4478","55172","4119","0","6294","-1091","1077"
"France","1/7/2016","23:00","176","742","4060","56395","4048","0","7321","-909","1081"
"France","1/7/2016","23:30","175","711","3027","55730","3876","0","6841","-1558","1087"
"France","1/8/2016","0:00","175","718","3054","55976","3573","0","6709","-1557","1088"
"France","1/8/2016","0:30","174","741","2917","55845","3237","0","6774","-2162","1073"
"France","1/8/2016","1:00","174","722","2585","54900","2940","0","6135","-3091","1082"
"France","1/8/2016","1:30","175","640","2553","53653","2864","0","5535","-3084","1082"
"France","1/8/2016","2:00","175","620","2592","53545","2700","0","5472","-3299","1083"
"France","1/8/2016","2:30","174","656","2545","54262","2418","0","5268","-3056","1078"
"France","1/8/2016","3:00","174","646","2592","52793","2197","0","5168","-3056","1079"
"France","1/8/2016","3:30","175","630","2584","52023","2082","0","5194","-2011","1079"
"France","1/8/2016","4:00","173","626","2664","51616","1913","0","5157","-2234","1077"
"France","1/8/2016","4:30","173","649","2737","52881","1753","0","5156","-2520","1078"
"France","1/8/2016","5:00","174","644","2753","52906","1679","0","5222","-2549","1072"
"France","1/8/2016","5:30","173","623","2751","52932","1591","0","5667","-2544","1078"
"France","1/8/2016","6:00","174","639","2779","54247","1493","0","5988","-2306","1072"
"France","1/8/2016","6:30","173","665","2903","55873","1382","0","6497","-1411","1065"
"France","1/8/2016","7:00","174","897","3213","57099","1415","0","7667","-1135","1069"
"France","1/8/2016","7:30","171","926","4364","57256","1449","0","9177","-58","1069"
